prob,group,measure,solver,performance
1000-102,sophisticated-eax,PAR10,ann_1_mst,3.1704
1000-102,sophisticated-eax,PQR10,ann_1_mst,3.1565
1000-109,sophisticated-eax,PAR10,ann_1_mst,3.0778
1000-109,sophisticated-eax,PQR10,ann_1_mst,3.0735
1000-137,sophisticated-eax,PAR10,ann_1_mst,2.5652
1000-137,sophisticated-eax,PQR10,ann_1_mst,2.6065
1000-156,sophisticated-eax,PAR10,ann_1_mst,2.818
1000-156,sophisticated-eax,PQR10,ann_1_mst,2.8665
1000-16,sophisticated-eax,PAR10,ann_1_mst,2.7247
1000-16,sophisticated-eax,PQR10,ann_1_mst,2.668
1000-165,sophisticated-eax,PAR10,ann_1_mst,3.2828
1000-165,sophisticated-eax,PQR10,ann_1_mst,3.32
1000-175,sophisticated-eax,PAR10,ann_1_mst,4.9725
1000-175,sophisticated-eax,PQR10,ann_1_mst,3.4945
1000-186,sophisticated-eax,PAR10,ann_1_mst,3.7566
1000-186,sophisticated-eax,PQR10,ann_1_mst,3.8185
1000-202,sophisticated-eax,PAR10,ann_1_mst,4.6777
1000-202,sophisticated-eax,PQR10,ann_1_mst,3.515
1000-219,sophisticated-eax,PAR10,ann_1_mst,1152.5367
1000-219,sophisticated-eax,PQR10,ann_1_mst,757.8555
1000-222,sophisticated-eax,PAR10,ann_1_mst,5.9705
1000-222,sophisticated-eax,PQR10,ann_1_mst,3.5615
1000-228,sophisticated-eax,PAR10,ann_1_mst,91.4008
1000-228,sophisticated-eax,PQR10,ann_1_mst,36.7555
1000-237,sophisticated-eax,PAR10,ann_1_mst,3.8045
1000-237,sophisticated-eax,PQR10,ann_1_mst,3.066
1000-24,sophisticated-eax,PAR10,ann_1_mst,3.7865
1000-24,sophisticated-eax,PQR10,ann_1_mst,3.485
1000-255,sophisticated-eax,PAR10,ann_1_mst,4.1274
1000-255,sophisticated-eax,PQR10,ann_1_mst,3.5845
1000-256,sophisticated-eax,PAR10,ann_1_mst,3.7816
1000-256,sophisticated-eax,PQR10,ann_1_mst,3.2025
1000-262,sophisticated-eax,PAR10,ann_1_mst,2.9724
1000-262,sophisticated-eax,PQR10,ann_1_mst,3.044
1000-278,sophisticated-eax,PAR10,ann_1_mst,2.9044
1000-278,sophisticated-eax,PQR10,ann_1_mst,2.9125
1000-28,sophisticated-eax,PAR10,ann_1_mst,2.9438
1000-28,sophisticated-eax,PQR10,ann_1_mst,2.963
