prob,group,measure,solver,performance
1000-131,sophisticated-eax,PAR10,ann_1_nng,3.4105
1000-131,sophisticated-eax,PQR10,ann_1_nng,3.377
1000-139,sophisticated-eax,PAR10,ann_1_nng,3.0235
1000-139,sophisticated-eax,PQR10,ann_1_nng,3.012
1000-150,sophisticated-eax,PAR10,ann_1_nng,3.3519
1000-150,sophisticated-eax,PQR10,ann_1_nng,3.088
1000-166,sophisticated-eax,PAR10,ann_1_nng,4.6052
1000-166,sophisticated-eax,PQR10,ann_1_nng,3.508
1000-178,sophisticated-eax,PAR10,ann_1_nng,4.3953
1000-178,sophisticated-eax,PQR10,ann_1_nng,3.3845
1000-180,sophisticated-eax,PAR10,ann_1_nng,3.5478
1000-180,sophisticated-eax,PQR10,ann_1_nng,3.429
1000-190,sophisticated-eax,PAR10,ann_1_nng,2.9134
1000-190,sophisticated-eax,PQR10,ann_1_nng,2.978
1000-197,sophisticated-eax,PAR10,ann_1_nng,4.0587
1000-197,sophisticated-eax,PQR10,ann_1_nng,3.483
1000-207,sophisticated-eax,PAR10,ann_1_nng,3.2919
1000-207,sophisticated-eax,PQR10,ann_1_nng,3.2995
1000-21,sophisticated-eax,PAR10,ann_1_nng,3.6485
1000-21,sophisticated-eax,PQR10,ann_1_nng,3.3685
1000-225,sophisticated-eax,PAR10,ann_1_nng,2.7405
1000-225,sophisticated-eax,PQR10,ann_1_nng,2.7245
1000-230,sophisticated-eax,PAR10,ann_1_nng,3.5236
1000-230,sophisticated-eax,PQR10,ann_1_nng,3.5595
1000-231,sophisticated-eax,PAR10,ann_1_nng,3.0831
1000-231,sophisticated-eax,PQR10,ann_1_nng,3.109
1000-248,sophisticated-eax,PAR10,ann_1_nng,7.7431
1000-248,sophisticated-eax,PQR10,ann_1_nng,6.3545
1000-252,sophisticated-eax,PAR10,ann_1_nng,3.4141
1000-252,sophisticated-eax,PQR10,ann_1_nng,3.0985
1000-259,sophisticated-eax,PAR10,ann_1_nng,3.174
1000-259,sophisticated-eax,PQR10,ann_1_nng,3.2055
1000-279,sophisticated-eax,PAR10,ann_1_nng,3.5288
1000-279,sophisticated-eax,PQR10,ann_1_nng,3.565
1000-286,sophisticated-eax,PAR10,ann_1_nng,5.2229
1000-286,sophisticated-eax,PQR10,ann_1_nng,4.066
1000-296,sophisticated-eax,PAR10,ann_1_nng,3.8701
1000-296,sophisticated-eax,PQR10,ann_1_nng,3.0035
1000-30,sophisticated-eax,PAR10,ann_1_nng,3.9852
1000-30,sophisticated-eax,PQR10,ann_1_nng,3.5615
1000-307,sophisticated-eax,PAR10,ann_1_nng,2.8281
1000-307,sophisticated-eax,PQR10,ann_1_nng,2.849
1000-313,sophisticated-eax,PAR10,ann_1_nng,3.3971
