prob,group,measure,solver,performance
1000-106,sophisticated-eax,PAR10,ann_1_points,3.5777
1000-106,sophisticated-eax,PQR10,ann_1_points,3.5315
1000-107,sophisticated-eax,PAR10,ann_1_points,2.9685
1000-107,sophisticated-eax,PQR10,ann_1_points,2.9995
1000-115,sophisticated-eax,PAR10,ann_1_points,3.519
1000-115,sophisticated-eax,PQR10,ann_1_points,3.533
1000-130,sophisticated-eax,PAR10,ann_1_points,6.3573
1000-130,sophisticated-eax,PQR10,ann_1_points,3.9615
1000-14,sophisticated-eax,PAR10,ann_1_points,3.2199
1000-14,sophisticated-eax,PQR10,ann_1_points,3.2395
1000-140,sophisticated-eax,PAR10,ann_1_points,3.4052
1000-140,sophisticated-eax,PQR10,ann_1_points,3.3675
1000-179,sophisticated-eax,PAR10,ann_1_points,3.7813
1000-179,sophisticated-eax,PQR10,ann_1_points,3.309
1000-191,sophisticated-eax,PAR10,ann_1_points,3.0099
1000-191,sophisticated-eax,PQR10,ann_1_points,3.008
1000-194,sophisticated-eax,PAR10,ann_1_points,3.3083
1000-194,sophisticated-eax,PQR10,ann_1_points,3.425
1000-20,sophisticated-eax,PAR10,ann_1_points,2.9586
1000-20,sophisticated-eax,PQR10,ann_1_points,2.973
1000-206,sophisticated-eax,PAR10,ann_1_points,3.301
1000-206,sophisticated-eax,PQR10,ann_1_points,3.422
1000-208,sophisticated-eax,PAR10,ann_1_points,3.4552
1000-208,sophisticated-eax,PQR10,ann_1_points,3.517
1000-209,sophisticated-eax,PAR10,ann_1_points,3.0737
1000-209,sophisticated-eax,PQR10,ann_1_points,3.0705
1000-229,sophisticated-eax,PAR10,ann_1_points,3.1093
1000-229,sophisticated-eax,PQR10,ann_1_points,3.197
1000-233,sophisticated-eax,PAR10,ann_1_points,4.7786
1000-233,sophisticated-eax,PQR10,ann_1_points,3.7725
1000-235,sophisticated-eax,PAR10,ann_1_points,3.4338
1000-235,sophisticated-eax,PQR10,ann_1_points,3.0785
1000-254,sophisticated-eax,PAR10,ann_1_points,1221.2493
1000-254,sophisticated-eax,PQR10,ann_1_points,1243.135
1000-263,sophisticated-eax,PAR10,ann_1_points,3.7004
1000-263,sophisticated-eax,PQR10,ann_1_points,3.307
1000-269,sophisticated-eax,PAR10,ann_1_points,174.7565
1000-269,sophisticated-eax,PQR10,ann_1_points,138.459
1000-27,sophisticated-eax,PAR10,ann_1_points,129.4981
1000-27,sophisticated-eax,PQR10,ann_1_points,114.5385
1000-270,sophisticated-eax,PAR10,ann_1_points,3.4053
1000-270,sophisticated-eax,PQR10,ann_1_points,3.4465
1000-276,sophisticated-eax,PAR10,ann_1_points,3.4121
1000-276,sophisticated-eax,PQR10,ann_1_points,2.9185
1000-283,sophisticated-eax,PAR10,ann_1_points,2.8529
1000-283,sophisticated-eax,PQR10,ann_1_points,2.8975
1000-3,sophisticated-eax,PAR10,ann_1_points,2.7256
1000-3,sophisticated-eax,PQR10,ann_1_points,2.758
1000-302,sophisticated-eax,PAR10,ann_1_points,5.4342
1000-302,sophisticated-eax,PQR10,ann_1_points,3.9475
1000-309,sophisticated-eax,PAR10,ann_1_points,3.2432
1000-309,sophisticated-eax,PQR10,ann_1_points,3.2985
1000-329,sophisticated-eax,PAR10,ann_1_points,2.9443
1000-329,sophisticated-eax,PQR10,ann_1_points,3.01
1000-340,sophisticated-eax,PAR10,ann_1_points,3.2171
1000-340,sophisticated-eax,PQR10,ann_1_points,3.231
1000-344,sophisticated-eax,PAR10,ann_1_points,2.843
1000-344,sophisticated-eax,PQR10,ann_1_points,2.8415
1000-356,sophisticated-eax,PAR10,ann_1_points,2.8846
1000-356,sophisticated-eax,PQR10,ann_1_points,2.8845
1000-365,sophisticated-eax,PAR10,ann_1_points,2.526
1000-365,sophisticated-eax,PQR10,ann_1_points,2.542
1000-366,sophisticated-eax,PAR10,ann_1_points,3.209
1000-366,sophisticated-eax,PQR10,ann_1_points,3.235
1000-374,sophisticated-eax,PAR10,ann_1_points,3.1227
1000-374,sophisticated-eax,PQR10,ann_1_points,3.2095
1000-392,sophisticated-eax,PAR10,ann_1_points,3.1746
1000-392,sophisticated-eax,PQR10,ann_1_points,3.2455
1000-396,sophisticated-eax,PAR10,ann_1_points,2.7418
1000-396,sophisticated-eax,PQR10,ann_1_points,2.8245
1000-4,sophisticated-eax,PAR10,ann_1_points,4.9806
1000-4,sophisticated-eax,PQR10,ann_1_points,3.9635
1000-437,sophisticated-eax,PAR10,ann_1_points,4.5007
1000-437,sophisticated-eax,PQR10,ann_1_points,3.246
1000-444,sophisticated-eax,PAR10,ann_1_points,55.0341
1000-444,sophisticated-eax,PQR10,ann_1_points,47.629
1000-449,sophisticated-eax,PAR10,ann_1_points,3.4675
1000-449,sophisticated-eax,PQR10,ann_1_points,2.98
1000-451,sophisticated-eax,PAR10,ann_1_points,365.1114
1000-451,sophisticated-eax,PQR10,ann_1_points,239.281
1000-468,sophisticated-eax,PAR10,ann_1_points,3.7384
1000-468,sophisticated-eax,PQR10,ann_1_points,3.7485
1000-48,sophisticated-eax,PAR10,ann_1_points,2.4744
1000-48,sophisticated-eax,PQR10,ann_1_points,2.5195
1000-483,sophisticated-eax,PAR10,ann_1_points,3.2465
1000-483,sophisticated-eax,PQR10,ann_1_points,3.378
1000-64,sophisticated-eax,PAR10,ann_1_points,5.2866
1000-64,sophisticated-eax,PQR10,ann_1_points,3.899
1000-79,sophisticated-eax,PAR10,ann_1_points,4.9486
1000-79,sophisticated-eax,PQR10,ann_1_points,3.559
1000-97,sophisticated-eax,PAR10,ann_1_points,2.788
1000-97,sophisticated-eax,PQR10,ann_1_points,2.874
1000-1,sophisticated-lkh,PAR10,ann_1_points,1.366
1000-1,sophisticated-lkh,PQR10,ann_1_points,1.404
1000-100,sophisticated-lkh,PAR10,ann_1_points,5.7319
1000-100,sophisticated-lkh,PQR10,ann_1_points,3.334
1000-119,sophisticated-lkh,PAR10,ann_1_points,2.0361
1000-119,sophisticated-lkh,PQR10,ann_1_points,1.7685
1000-12,sophisticated-lkh,PAR10,ann_1_points,2.5476
1000-12,sophisticated-lkh,PQR10,ann_1_points,1.8575
1000-122,sophisticated-lkh,PAR10,ann_1_points,132.8148
1000-122,sophisticated-lkh,PQR10,ann_1_points,97.3575
1000-126,sophisticated-lkh,PAR10,ann_1_points,2.1751
1000-126,sophisticated-lkh,PQR10,ann_1_points,1.958
1000-143,sophisticated-lkh,PAR10,ann_1_points,3.6458
1000-143,sophisticated-lkh,PQR10,ann_1_points,3.4135
1000-151,sophisticated-lkh,PAR10,ann_1_points,70.4034
1000-151,sophisticated-lkh,PQR10,ann_1_points,53.953
1000-196,sophisticated-lkh,PAR10,ann_1_points,32.521
1000-196,sophisticated-lkh,PQR10,ann_1_points,29.458
1000-203,sophisticated-lkh,PAR10,ann_1_points,200.2718
1000-203,sophisticated-lkh,PQR10,ann_1_points,105.551
1000-218,sophisticated-lkh,PAR10,ann_1_points,4.2856
1000-218,sophisticated-lkh,PQR10,ann_1_points,3.1595
1000-248,sophisticated-lkh,PAR10,ann_1_points,12.6672
1000-248,sophisticated-lkh,PQR10,ann_1_points,11.4095
1000-257,sophisticated-lkh,PAR10,ann_1_points,24.9849
1000-257,sophisticated-lkh,PQR10,ann_1_points,26.487
1000-264,sophisticated-lkh,PAR10,ann_1_points,75.3193
1000-264,sophisticated-lkh,PQR10,ann_1_points,55.164
1000-267,sophisticated-lkh,PAR10,ann_1_points,2.0952
1000-267,sophisticated-lkh,PQR10,ann_1_points,1.3975
1000-281,sophisticated-lkh,PAR10,ann_1_points,3.465
1000-281,sophisticated-lkh,PQR10,ann_1_points,2.421
1000-299,sophisticated-lkh,PAR10,ann_1_points,2.4446
1000-299,sophisticated-lkh,PQR10,ann_1_points,1.675
1000-307,sophisticated-lkh,PAR10,ann_1_points,3.1925
1000-307,sophisticated-lkh,PQR10,ann_1_points,2.3955
1000-310,sophisticated-lkh,PAR10,ann_1_points,10.786
1000-310,sophisticated-lkh,PQR10,ann_1_points,9.05
1000-315,sophisticated-lkh,PAR10,ann_1_points,4.0819
1000-315,sophisticated-lkh,PQR10,ann_1_points,1.9675
1000-345,sophisticated-lkh,PAR10,ann_1_points,1.8783
1000-345,sophisticated-lkh,PQR10,ann_1_points,1.5955
1000-35,sophisticated-lkh,PAR10,ann_1_points,182.8561
1000-35,sophisticated-lkh,PQR10,ann_1_points,74.5335
1000-351,sophisticated-lkh,PAR10,ann_1_points,5.5758
1000-351,sophisticated-lkh,PQR10,ann_1_points,4.5575
1000-365,sophisticated-lkh,PAR10,ann_1_points,4.3803
1000-365,sophisticated-lkh,PQR10,ann_1_points,4.6275
1000-366,sophisticated-lkh,PAR10,ann_1_points,3.4012
1000-366,sophisticated-lkh,PQR10,ann_1_points,2.227
1000-368,sophisticated-lkh,PAR10,ann_1_points,5.9906
1000-368,sophisticated-lkh,PQR10,ann_1_points,3.65
1000-375,sophisticated-lkh,PAR10,ann_1_points,24.8365
1000-375,sophisticated-lkh,PQR10,ann_1_points,18.547
1000-376,sophisticated-lkh,PAR10,ann_1_points,93.6235
1000-376,sophisticated-lkh,PQR10,ann_1_points,59.2805
1000-381,sophisticated-lkh,PAR10,ann_1_points,14.3118
1000-381,sophisticated-lkh,PQR10,ann_1_points,8.674
1000-382,sophisticated-lkh,PAR10,ann_1_points,2.6395
1000-382,sophisticated-lkh,PQR10,ann_1_points,2.186
1000-383,sophisticated-lkh,PAR10,ann_1_points,35.883
1000-383,sophisticated-lkh,PQR10,ann_1_points,15.2605
1000-41,sophisticated-lkh,PAR10,ann_1_points,8.3679
1000-41,sophisticated-lkh,PQR10,ann_1_points,8.367
1000-410,sophisticated-lkh,PAR10,ann_1_points,34.0974
1000-410,sophisticated-lkh,PQR10,ann_1_points,15.3965
1000-423,sophisticated-lkh,PAR10,ann_1_points,4.3122
1000-423,sophisticated-lkh,PQR10,ann_1_points,3.5075
1000-424,sophisticated-lkh,PAR10,ann_1_points,4.235
1000-424,sophisticated-lkh,PQR10,ann_1_points,4.2635
1000-434,sophisticated-lkh,PAR10,ann_1_points,2.5293
1000-434,sophisticated-lkh,PQR10,ann_1_points,1.904
1000-441,sophisticated-lkh,PAR10,ann_1_points,1.1294
1000-441,sophisticated-lkh,PQR10,ann_1_points,1.084
1000-447,sophisticated-lkh,PAR10,ann_1_points,29.4726
1000-447,sophisticated-lkh,PQR10,ann_1_points,11.956
1000-453,sophisticated-lkh,PAR10,ann_1_points,22.6675
1000-453,sophisticated-lkh,PQR10,ann_1_points,16.098
1000-464,sophisticated-lkh,PAR10,ann_1_points,1.3905
1000-464,sophisticated-lkh,PQR10,ann_1_points,1.2395
1000-465,sophisticated-lkh,PAR10,ann_1_points,27.0968
1000-465,sophisticated-lkh,PQR10,ann_1_points,13.749
1000-474,sophisticated-lkh,PAR10,ann_1_points,30.2469
1000-474,sophisticated-lkh,PQR10,ann_1_points,29.315
1000-486,sophisticated-lkh,PAR10,ann_1_points,1.2391
1000-486,sophisticated-lkh,PQR10,ann_1_points,1.1785
1000-493,sophisticated-lkh,PAR10,ann_1_points,220.0143
1000-493,sophisticated-lkh,PQR10,ann_1_points,115.4785
1000-494,sophisticated-lkh,PAR10,ann_1_points,3.0774
1000-494,sophisticated-lkh,PQR10,ann_1_points,2.3065
1000-496,sophisticated-lkh,PAR10,ann_1_points,275.801
1000-496,sophisticated-lkh,PQR10,ann_1_points,124.9015
1000-498,sophisticated-lkh,PAR10,ann_1_points,39.506
1000-498,sophisticated-lkh,PQR10,ann_1_points,31.1065
1000-57,sophisticated-lkh,PAR10,ann_1_points,1.1052
1000-57,sophisticated-lkh,PQR10,ann_1_points,1.0695
1000-72,sophisticated-lkh,PAR10,ann_1_points,3.1444
1000-72,sophisticated-lkh,PQR10,ann_1_points,1.6175
1000-83,sophisticated-lkh,PAR10,ann_1_points,5.8165
1000-83,sophisticated-lkh,PQR10,ann_1_points,2.0705
1000-87,sophisticated-lkh,PAR10,ann_1_points,79.722
1000-87,sophisticated-lkh,PQR10,ann_1_points,73.3745
1000-92,sophisticated-lkh,PAR10,ann_1_points,1.6309
1000-92,sophisticated-lkh,PQR10,ann_1_points,1.482
1000-94,sophisticated-lkh,PAR10,ann_1_points,69.9477
1000-94,sophisticated-lkh,PQR10,ann_1_points,61.5055
1000-96,sophisticated-lkh,PAR10,ann_1_points,181.8065
1000-96,sophisticated-lkh,PQR10,ann_1_points,134.0705
