prob,group,measure,solver,performance
1000-101,sophisticated-eax,PAR10,ann_1_points,3.1878
1000-101,sophisticated-eax,PQR10,ann_1_points,3.2305
1000-12,sophisticated-eax,PAR10,ann_1_points,3.7405
1000-12,sophisticated-eax,PQR10,ann_1_points,3.295
1000-120,sophisticated-eax,PAR10,ann_1_points,3.708
1000-120,sophisticated-eax,PQR10,ann_1_points,3.071
1000-125,sophisticated-eax,PAR10,ann_1_points,3.167
1000-125,sophisticated-eax,PQR10,ann_1_points,3.165
1000-129,sophisticated-eax,PAR10,ann_1_points,3.4367
1000-129,sophisticated-eax,PQR10,ann_1_points,3.4665
1000-136,sophisticated-eax,PAR10,ann_1_points,3.4891
1000-136,sophisticated-eax,PQR10,ann_1_points,3.479
1000-138,sophisticated-eax,PAR10,ann_1_points,3.3231
1000-138,sophisticated-eax,PQR10,ann_1_points,3.259
1000-143,sophisticated-eax,PAR10,ann_1_points,3.6832
1000-143,sophisticated-eax,PQR10,ann_1_points,3.7265
1000-153,sophisticated-eax,PAR10,ann_1_points,3.2332
1000-153,sophisticated-eax,PQR10,ann_1_points,3.2675
1000-155,sophisticated-eax,PAR10,ann_1_points,3.5787
1000-155,sophisticated-eax,PQR10,ann_1_points,3.225
1000-185,sophisticated-eax,PAR10,ann_1_points,3.3943
1000-185,sophisticated-eax,PQR10,ann_1_points,3.4355
1000-193,sophisticated-eax,PAR10,ann_1_points,2.7498
1000-193,sophisticated-eax,PQR10,ann_1_points,2.752
1000-215,sophisticated-eax,PAR10,ann_1_points,2.9587
1000-215,sophisticated-eax,PQR10,ann_1_points,2.9605
1000-226,sophisticated-eax,PAR10,ann_1_points,6.4136
1000-226,sophisticated-eax,PQR10,ann_1_points,4.7485
1000-23,sophisticated-eax,PAR10,ann_1_points,3.6482
1000-23,sophisticated-eax,PQR10,ann_1_points,3.643
1000-26,sophisticated-eax,PAR10,ann_1_points,3.1251
1000-26,sophisticated-eax,PQR10,ann_1_points,3.1235
1000-265,sophisticated-eax,PAR10,ann_1_points,4.6386
1000-265,sophisticated-eax,PQR10,ann_1_points,3.04
1000-268,sophisticated-eax,PAR10,ann_1_points,3.3832
1000-268,sophisticated-eax,PQR10,ann_1_points,3.395
1000-271,sophisticated-eax,PAR10,ann_1_points,2.7516
1000-271,sophisticated-eax,PQR10,ann_1_points,2.7395
1000-280,sophisticated-eax,PAR10,ann_1_points,2.9897
1000-280,sophisticated-eax,PQR10,ann_1_points,3.021
1000-293,sophisticated-eax,PAR10,ann_1_points,6.3708
1000-293,sophisticated-eax,PQR10,ann_1_points,4.2835
1000-297,sophisticated-eax,PAR10,ann_1_points,2.6466
1000-297,sophisticated-eax,PQR10,ann_1_points,2.7005
1000-32,sophisticated-eax,PAR10,ann_1_points,3.2733
1000-32,sophisticated-eax,PQR10,ann_1_points,3.2425
1000-324,sophisticated-eax,PAR10,ann_1_points,3.6208
1000-324,sophisticated-eax,PQR10,ann_1_points,3.677
1000-33,sophisticated-eax,PAR10,ann_1_points,2.9394
1000-33,sophisticated-eax,PQR10,ann_1_points,2.944
1000-330,sophisticated-eax,PAR10,ann_1_points,3.0435
1000-330,sophisticated-eax,PQR10,ann_1_points,3.0895
1000-334,sophisticated-eax,PAR10,ann_1_points,3.0939
1000-334,sophisticated-eax,PQR10,ann_1_points,2.731
1000-338,sophisticated-eax,PAR10,ann_1_points,3.1748
1000-338,sophisticated-eax,PQR10,ann_1_points,3.1805
1000-342,sophisticated-eax,PAR10,ann_1_points,3.7278
1000-342,sophisticated-eax,PQR10,ann_1_points,3.7825
1000-348,sophisticated-eax,PAR10,ann_1_points,3.182
1000-348,sophisticated-eax,PQR10,ann_1_points,2.898
1000-369,sophisticated-eax,PAR10,ann_1_points,3.9904
1000-369,sophisticated-eax,PQR10,ann_1_points,3.2445
1000-37,sophisticated-eax,PAR10,ann_1_points,5.7609
1000-37,sophisticated-eax,PQR10,ann_1_points,3.3655
1000-376,sophisticated-eax,PAR10,ann_1_points,3.347
1000-376,sophisticated-eax,PQR10,ann_1_points,2.9975
1000-385,sophisticated-eax,PAR10,ann_1_points,3.4524
1000-385,sophisticated-eax,PQR10,ann_1_points,3.456
